R_Ang,epsr,alpha_kcal_per_mol_per_e
3.0,2.0,14.758355555555555
3.0707070707070705,2.0,14.08651949013158
3.1414141414141414,2.0,13.459536038709278
3.212121212121212,2.0,12.87349971520114
3.282828282828283,2.0,12.324921043313608
3.3535353535353534,2.0,11.81067449194368
3.4242424242424243,2.0,11.327953856997414
3.494949494949495,2.0,10.874233896889306
3.5656565656565657,2.0,10.447237239685737
3.6363636363636362,2.0,10.04490575
3.707070707070707,2.0,9.665375681755748
3.7777777777777777,2.0,9.306956055363322
3.8484848484848486,2.0,8.968109789819579
3.919191919191919,2.0,8.647437195770008
3.9898989898989896,2.0,8.343661497836887
4.0606060606060606,2.0,8.055616106036979
4.1313131313131315,2.0,7.782233398891684
4.202020202020202,2.0,7.52253481647559
4.2727272727272725,2.0,7.275622091444093
4.343434343434343,2.0,7.040669471065441
4.414141414141414,2.0,6.816916804298079
4.484848484848484,2.0,6.603663385682981
4.555555555555555,2.0,6.40026246281975
4.626262626262626,2.0,6.206116326919776
4.696969696969697,2.0,6.020671916753382
4.767676767676767,2.0,5.843416875538639
4.838383838383838,2.0,5.673876008211262
4.909090909090909,2.0,5.511608093278463
4.979797979797979,2.0,5.356203009269737
5.05050505050505,2.0,5.207279140800001
5.121212121212121,2.0,5.064481033577255
5.191919191919192,2.0,4.927477271419703
5.262626262626263,2.0,4.795958551582111
5.333333333333333,2.0,4.6696359375
5.404040404040404,2.0,4.5482392705039745
5.474747474747474,2.0,4.431515724186763
5.545454545454545,2.0,4.31922848696587
5.616161616161616,2.0,4.211155560012422
5.686868686868687,2.0,4.107088659143323
5.757575757575758,2.0,4.006832210526315
5.828282828282829,2.0,3.9102024311489827
5.898989898989899,2.0,3.8170264859729777
5.96969696969697,2.0,3.727141714550748
6.04040404040404,2.0,3.6403949206384723
6.111111111111111,2.0,3.5566417190082644
6.181818181818182,2.0,3.4757459342560555
6.252525252525253,2.0,3.3975790469280533
6.3232323232323235,2.0,3.32201968275679
6.393939393939394,2.0,3.2489531412142587
6.4646464646464645,2.0,3.178270959960938
6.535353535353535,2.0,3.109870512100792
6.6060606060606055,2.0,3.043654633448363
6.6767676767676765,2.0,2.979531277278959
6.747474747474747,2.0,2.917413194270142
6.818181818181818,2.0,2.857217635555555
6.888888888888889,2.0,2.798866077003121
6.959595959595959,2.0,2.742283963001426
7.03030303030303,2.0,2.687400468192628
7.101010101010101,2.0,2.634148275729499
7.171717171717171,2.0,2.58246337075977
7.242424242424242,2.0,2.5322848479543425
7.313131313131313,2.0,2.4835547319984124
7.383838383838384,2.0,2.436217810057246
7.454545454545454,2.0,2.3902214753123143
7.525252525252525,2.0,2.3455155807396064
7.595959595959596,2.0,2.3020523023709822
7.666666666666666,2.0,2.2597860113421553
7.737373737373737,2.0,2.2186731540879
7.808080808080808,2.0,2.1786721400969657
7.878787878787879,2.0,2.1397432366863907
7.949494949494949,2.0,2.101848470297997
8.02020202020202,2.0,2.064951533859107
8.09090909090909,2.0,2.029017699785381
8.161616161616163,2.0,1.9940137382364471
8.232323232323232,2.0,1.9599078402649706
8.303030303030303,2.0,1.9266695455271994
8.373737373737374,2.0,1.8942696742481893
8.444444444444445,2.0,1.8626802631578945
8.515151515151516,2.0,1.8318745051354464
8.585858585858585,2.0,1.8018266923183395
8.656565656565657,2.0,1.7725121624510345
